,,,,,,,,,,,,avg,std
always,0.5,0.9,1,1,1,0.9,1,0,0.2,1,0.01,68.27%,42.22%
certainly,0.8,0.95,1,1,1,0.9,1,0,0.5,1,0.01,74.18%,39.36%
almost certainly,0.9,0.95,0.95,0.95,0.95,0.9,0.9,0,0.5,0.99,0.01,72.73%,38.11%
almost always,0.85,0.95,0.95,0.95,1,0.9,0.9,0,0.5,0.9,0.01,71.91%,37.71%
highly likely,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0,0.3,0.9,0.01,68.27%,37.98%
very good chance,0.8,0.9,0.9,0.9,0.9,0.85,0.85,0,0.5,0.9,0.01,68.27%,35.47%
probable,0.75,0.5,0.9,0.9,0.85,0.7,0.85,0,0.2,0.7,0,57.73%,35.10%
usually,0.85,0.85,0.95,1,0.9,0.9,0.9,0,0.3,0.9,0,68.64%,38.67%
likely,0.8,0.8,0.9,0.9,0.9,0.75,0.9,0,0.5,NA,0.01,64.60%,35.89%
we believe,0.5,0.5,1,1,1,0.9,1,0,0.2,0.9,0.01,63.73%,41.14%
frequently,0.5,1,1,0.9,1,0.9,0.9,0,0.2,0.9,0.01,66.45%,40.89%
probably,0.5,0.85,0.9,0.9,0.9,0.85,0.9,0,0.2,0.9,0.01,62.82%,38.00%
often,0.5,0.95,1,1,1,0.9,0.85,0,0.5,0.9,0.01,69.18%,38.48%
more often than not,0.85,0.7,0.7,0.7,0.9,0.75,0.85,0,0.5,0.7,0.01,60.55%,31.55%
better than even,0.6,0.75,0.75,0.75,0.7,0.6,0.6,0,0.51,0.6,0.01,53.36%,27.30%
with moderate probability,0.5,0.65,0.7,0.6,0.7,0.5,0.65,0,NA,0.7,0.01,50.10%,27.18%
chances about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.00%,0.00%
maybe,0.5,0.5,0.9,0.9,0.9,0.5,0.5,0,0.5,0.5,0.01,51.91%,31.08%
might,0.5,0.5,0.85,0.9,0.9,0.75,1,0,NA,0.5,0.01,59.10%,35.94%
not often,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.1,0.2,0.01,31.00%,19.05%
we doubt,0.5,0.5,0.3,0.9,0.9,0.5,0.5,0.5,0,0.5,0.01,46.45%,28.92%
probably not,0.5,0.5,0.2,0.2,0.7,0.5,0.3,0,0.1,0.3,0.01,30.09%,22.67%
improbable,0.5,0.5,0.2,0.2,0.9,0.4,0.3,0,0.1,0.2,0.01,30.09%,26.35%
unlikely,0.5,0.5,0.2,0.2,0.9,0.45,0.3,0,0.1,0.3,0.01,31.45%,26.35%
little chance,0.5,0.5,0.1,0.1,0.9,0.2,0.1,0.1,0.1,0.1,0.01,24.64%,27.25%
almost no chance,0.5,0.5,0.01,0.01,0.9,0.01,0.01,0.01,0,0.01,0.01,17.91%,30.95%
almost certainly not,0.5,0.95,0.05,0.1,0.2,0.1,0.1,0,0,0.01,0.01,18.36%,29.23%
rarely,0.5,0.5,0.1,0.1,0.9,0.2,0.3,0.5,0.1,0.1,0.01,30.09%,27.09%
highly unlikely,0.5,0.8,0.9,0.9,0.9,0.2,0.1,0,0,0.1,0.01,40.09%,40.15%
chances are slight,0.5,0.5,0.2,0.2,0.85,0.2,0.2,0.05,0.1,0.2,0.01,27.36%,24.73%
never,0.5,0.5,0,0,0.9,0.5,0,0,0,0,0,21.82%,32.19%
impossibility,0.5,0.5,0,1,0.9,0.5,0,0.5,0,0,0,35.45%,37.78%
