,,,,,,,,,,,,,,,
always,1,0.99,1,0.95,0.95,0.95,0.95,0.9,0.9,1,1,1,0.99,0.99,0.8
certainly,1,0.95,1,0.95,0.95,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.99,0.95,1
almost certain,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.95,0.95,0.95,0.95,0.99,0.99,1
almost always,0.99,0.99,0.99,0.95,0.95,0.99,0.99,0.99,0.95,1,0.95,0.99,0.99,0.99,1
highly likely,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.75,na,0.75,0.9,0.9,0.95,0.95,0.8
very good chance,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.75,0.8,0.85,0.9,0.9,0.95,0.9,0.8
probable,0.75,0.75,0.95,0.75,0.95,0.9,0.8,0.1,na,0.85,0.9,0.9,0.95,0.95,0.5
usually,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.75,0.9,0.9,0.95,0.95,0.95,0.95,0.9
likely,0.9,0.85,0.95,0.9,0.9,0.95,0.9,0.1,na,0.8,0.9,0.9,0.95,0.95,0.8
we believe,1,0.75,0.95,0.95,0.95,0.95,0.95,0.5,0.9,0.7,0.95,0.95,0.95,0.95,0.9
frequently,0.95,0.9,0.95,0.9,0.95,0.95,0.95,0.9,na,0.95,0.9,0.95,0.95,0.9,0.75
probably,0.75,0.5,0.9,0.75,0.5,0.7,0.8,0.1,1,0.75,0.9,0.7,0.95,0.5,0.8
often,0.95,0.9,0.95,0.9,0.95,0.95,0.95,0.75,0.8,0.95,0.9,0.95,0.95,0.95,0.7
more often than not,0.95,0.75,na,0.95,0.9,0.95,0.95,0.75,na,0.85,0.9,0.95,0.95,0.95,0.8
better than even,0.51,0.8,0.95,0.51,0.51,0.75,0.51,0.67,0.5,0.67,0.67,0.99,0.51,0.67,0.6
with moderate probability,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
about even,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.99,0.5,0.5,0.5
maybe,0.65,0.5,0.9,0.75,0.5,0.5,0.5,0.1,0.5,0.5,0.5,0.6,0.9,0.5,0.5
might,0.75,0.5,0.75,0.75,0.5,0.7,0.8,0.1,na,0.5,0.5,0.7,0.95,0.7,0.5
not often,0.01,0.25,0.25,0.01,na,0.2,0.1,0.1,0.3,0.25,0.05,0,0,0.1,na
we doubt,0.7,0.6,0.95,0.75,0.6,0.75,0.75,0.5,0.65,0.45,0.6,0.6,0.51,0.51,0.6
probably not,0.4,0.4,0.35,0.4,0.5,0.01,0.4,0,0.4,0.4,0.4,0.45,0,0.35,0.2
improbable,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0.1,0.1,0.1,0.05,0.01,0.3,0.3
unlikely,0.35,0.05,0.01,0.1,0.35,0.01,0.1,0.01,0.25,0.01,0.05,0.05,0.01,0.05,0.3
little chance,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.1
almost no chance,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
almost certainly not,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
rarely,0.1,0.1,0.01,0.01,0.1,0.1,0.1,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1
highly unlikely,0.01,0.01,0.2,0.01,0.3,0.01,0.1,0.01,0.1,0.1,0.01,0.05,0.01,0.05,0.01
chances are slight,0.05,0.1,0.01,0.01,0.95,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0,0.1
never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impossibility,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
