,,,,,,,,,,,,,,,
almost certain,0.95,0.95,0.95,0.95,0.95,0.99,0.95,0.9,0.95,0.95,0.95,0.95,0.99,0.99,0.99
highly likely,0.85,0.7,0.85,0.8,0.8,0.85,0.9,0.5,0.8,0.8,0.8,0.9,0.9,0.9,0.8
very good chance,0.85,0.7,0.85,0.8,0.8,0.8,0.85,0.3,0.8,0.8,0.8,0.8,0.9,0.9,0.8
probable,0.7,0.7,0.9,0.7,0.8,0.9,0.9,0.3,0.8,0.8,0.8,0.8,0.9,0.9,0.5
likely,0.85,0.7,0.9,0.8,0.8,0.85,0.9,0.3,0.8,0.8,0.8,0.8,0.9,0.9,0.8
we believe,0.9,0.7,0.9,0.9,0.9,0.9,1,0.3,0.8,0.9,0.9,0.9,0.99,0.95,0.8
probably,0.8,0.5,0.9,0.7,0.7,0.8,0.9,0.3,0.7,0.8,0.8,0.8,0.8,0.8,0.8
better than even,0.7,0.6,0.85,0.6,0.7,0.7,0.6,0.3,0.6,0.6,0.7,na,0.51,0.7,0.6
about even,0.5,0.5,0.85,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5
we doubt,0.8,0.7,0.85,0.8,0.7,0.8,0.9,0.3,0.7,0.5,0.5,0.5,0.7,0.8,0.7
improbable,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.3,0.2,0.3,0.3,0.3,0.5,0.2
unlikely,0.3,0.2,0.2,0.3,0.3,0.1,0.2,0.1,0.3,0.1,0.1,0.3,0.05,0.3,0.2
probably not,0.3,0.5,0.3,0.4,0.5,0.3,0.3,0.1,0.4,0.3,0.5,0.3,0.5,0.3,0.3
little chance,0.2,0.2,0.2,0.2,0.2,0.1,0.01,0.05,0.3,0.2,0.1,0.3,0.3,0.3,0.2
almost no chance,0.1,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01
highly unlikely,0.1,0.01,0.3,0.1,0.3,0.05,0.2,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.1
chances are slight,0.2,0.2,0.1,0.2,0.8,0.1,0.2,0.05,0.2,0.2,0.1,0.2,0.05,0.5,0.2
