,,,,,,,,,,,,,,,
almost certain,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.99,0.95,0.95
highly likely,0.9,0.8,0.9,0.95,0.95,0.95,0.95,0.8,0.8,0.9,0.9,0.8,0.95,0.95,0.9
very good chance,0.9,0.8,0.8,0.95,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.8
probable,0.8,0.75,0.8,0.8,0.75,0.75,0.8,0.7,0.75,0.7,0.8,0.7,0.8,0.8,0.7
likely,0.8,0.75,0.8,0.8,0.8,0.8,0.8,0.2,0.8,0.75,0.8,0.7,0.9,0.8,0.7
we believe,0.8,0.75,0.8,0.95,0.85,0.75,0.95,0.75,0.8,0.8,0.8,0.8,0.95,0.8,0.75
probably,0.8,0.75,0.8,0.8,0.8,0.8,0.8,0.75,0.8,0.8,0.8,0.7,0.8,0.8,0.7
better than even,0.75,0.75,0.75,0.75,0.75,0.6,0.75,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.6
about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
we doubt,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0.1,0.1
improbable,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.1,0.1,0.05,0.1,0,0.1,0.1
unlikely,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.1,0.05,0.05,0.1,0,0.1,0.1
probably not,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.1,0.05,0.05,0,0.1,0.1
little chance,0.05,0.1,0.05,0.05,0.1,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.1,0.05
almost no chance,0.05,0.01,0.05,0.05,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01
highly unlikely,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.05,0,0.05,0.05
chances are slight,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1
