,,,,,,,,,,,,,,,
almost certain,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95
highly likely,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
very good chance,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.85
probable,0.8,0.7,0.8,0.8,0.7,0.85,0.9,0.7,0.8,0.9,0.7,0.7,0.9,0.9,0.7
likely,0.85,0.8,0.85,0.85,0.85,0.85,0.9,0.7,0.8,0.7,0.7,0.85,0.9,0.9,0.7
we believe,1,0.9,0.9,0.9,0.9,0.9,1,0.7,0.9,1,0.9,1,0.9,1,0.8
probably,0.8,0.7,0.8,0.85,0.8,0.9,0.9,0.7,0.8,0.9,0.7,0.8,0.9,0.9,0.7
better than even,0.51,0.6,0.6,0.75,0.75,0.6,0.75,0.6,0.6,0.6,0.51,0.51,0.51,0.51,0.51
about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
we doubt,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.7,0.3,0.3,0.3,0.2,0.4,0.3,0.3
improbable,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2
unlikely,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3
probably not,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.5,0.3,0.3
little chance,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
almost no chance,0.05,0.01,0.05,0.05,0.05,0.05,0.05,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01
highly unlikely,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
chances are slight,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
