,this person wakes up at 6 a.m.,this person takes the bus to work.,this person orders the same dish at that restaurant.,this person attends the weekly meetings.,this person visits the park on weekends.,this person reads a book before bed.,this person remembers to bring an umbrella when it's cloudy.,this person dines out on Fridays.,this person listens to the news on the morning drive.,this person bakes a cake for birthdays.,Avg,Std
always,1,1,1,1,1,1,1,1,1,1,1,0
certainly,1,1,1,1,1,1,1,1,1,1,1,0
almost certain,0.9,0.9,0.95,0.95,0.9,0.95,0.95,0.9,0.9,0.95,0.925,0.02635231383
almost always,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
highly likely,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
very good chance,0.85,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.9,0.875,0.02635231383
probable,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.76,0.06992058988
usually,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
likely,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.805,0.0158113883
we believe,1,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0.93,0.04830458915
frequently,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
probably,0.7,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.83,0.06749485577
often,0.85,0.9,0.9,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.02108185107
more often than not,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.0316227766
better than even,0.51,0.51,0.51,0.51,0.6,0.51,0.6,0.6,0.6,0.75,0.57,0.07745966692
with moderate probability,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0
about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
maybe,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
might,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
not often,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.22,0.04216370214
we doubt,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.29,0.0316227766
probably not,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
improbable,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.22,0.04216370214
unlikely,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.26,0.05163977795
little chance,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.16,0.05163977795
almost no chance,0.01,0.01,0.01,0.01,0.05,0.01,0.05,0.05,0.05,0.01,0.026,0.02065591118
almost certainly not,0.1,0.05,0.05,0.1,0.05,0.1,0.1,0.05,0.1,0.05,0.075,0.02635231383
rarely,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.17,0.04830458915
highly unlikely,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.11,0.0316227766
chances are slight,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0
never,0,0,0,0,0,0,0,0,0,0,0,0
impossibility,0,0,0,0,0,0,0,0,0,0,0,0
