,this person wakes up at 6 a.m.,this person takes the bus to work.,this person orders the same dish at that restaurant.,this person attends the weekly meetings.,this person visits the park on weekends.,this person reads a book before bed.,this person remembers to bring an umbrella when it's cloudy.,this person dines out on Fridays.,this person listens to the news on the morning drive.,this person bakes a cake for birthdays.,Avg,Std
always,1,0.95,0.8,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.05163977795
certainly,0.95,0.9,0.8,0.95,0.9,0.95,0.95,0.8,0.85,0.95,0.9,0.06236095645
almost certain,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.945,0.0158113883
almost always,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.945,0.0158113883
highly likely,0.9,0.9,0.8,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.895,0.03689323937
very good chance,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.0316227766
probable,0.8,0.7,0.75,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.775,0.04249182928
usually,0.95,0.8,0.8,0.95,0.9,0.8,0.9,0.8,0.85,0.95,0.87,0.06749485577
likely,0.8,0.8,0.8,0.85,0.8,0.8,0.85,0.8,0.85,0.8,0.815,0.02415229458
we believe,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.95,0.825,0.05400617249
frequently,0.95,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.85,0.9,0.84,0.05676462122
probably,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0
often,0.9,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.85,0.9,0.835,0.0474341649
more often than not,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.8,0.8,0.795,0.0158113883
better than even,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0
with moderate probability,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0
about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
maybe,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.74,0.05163977795
might,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.73,0.04830458915
not often,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.12,0.04216370214
we doubt,0.1,0.1,0.25,0.2,0.1,0.2,0.3,0.1,0.2,0.1,0.165,0.0747217059
probably not,0.1,0.1,0.25,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0.145,0.07619419634
improbable,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.13,0.06749485577
unlikely,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.11,0.0316227766
little chance,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.11,0.0316227766
almost no chance,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
almost certainly not,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.055,0.0158113883
rarely,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.11,0.0316227766
highly unlikely,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.055,0.0158113883
chances are slight,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.14,0.05163977795
never,0,0,0,0,0,0,0.1,0,0.1,0,0.02,0.04216370214
impossibility,0,0,0.1,0,0,0,0.1,0,0,0,0.02,0.04216370214
