,this person wakes up at 6 a.m.,this person takes the bus to work.,this person orders the same dish at that restaurant.,this person attends the weekly meetings.,this person visits the park on weekends.,this person reads a book before bed.,this person remembers to bring an umbrella when it's cloudy.,this person dines out on Fridays.,this person listens to the news on the morning drive.,this person bakes a cake for birthdays.,Avg,Std
always,1,1,1,1,1,1,1,1,1,1,1,0
certainly,1,1,1,1,1,1,1,1,1,1,1,0
almost certain,0.95,0.9,0.95,0.95,0.9,0.95,0.95,0.9,0.9,0.95,0.93,0.02581988897
almost always,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
highly likely,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
very good chance,0.85,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.85,0.9,0.875,0.02635231383
probable,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.78,0.0632455532
usually,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
likely,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.81,0.0316227766
we believe,1,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0.93,0.04830458915
frequently,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0
probably,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.78,0.04216370214
often,0.85,0.9,0.9,0.85,0.9,0.9,0.9,0.8,0.9,0.9,0.88,0.03496029494
more often than not,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.0316227766
better than even,0.51,0.51,0.51,0.51,0.51,0.6,0.6,0.6,0.6,0.6,0.555,0.0474341649
with moderate probability,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.0316227766
about even,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
maybe,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
might,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
not often,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.25,0.05270462767
we doubt,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.29,0.0316227766
probably not,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0
improbable,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.22,0.04216370214
unlikely,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.27,0.04830458915
little chance,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.16,0.05163977795
almost no chance,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.01,0.03,0.02108185107
almost certainly not,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.1,0.05,0.065,0.02415229458
rarely,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.17,0.04830458915
highly unlikely,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.11,0.0316227766
chances are slight,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0
never,0,0,0,0,0,0,0,0,0,0,0,0
impossibility,0,0,0,0,0,0,0,0,0,0,0,0
