,ERNIE-4.0-Chinese v.s. Human,GPT-3.5-Chinese v.s. GPT-3.5-English,GPT-4-Chinese v.s. GPT-4-English,GPT-3.5-Chinese v.s. ERNIE-4.0-Chinese,GPT-4-Chinese v.s. ERNIE-4.0-Chinese
almost certain,"[0.638, 0.861]","[0.749, 1.000]","[0.222, 0.529]","[0.000, 0.098]","[0.772, 1.000]"
highly likely,"[0.386, 0.678]","[0.744, 1.000]","[0.740, 0.993]","[0.000, 0.288]","[0.451, 0.868]"
very good chance,"[0.613, 0.869]","[0.690, 0.987]","[0.671, 0.995]","[0.000, 0.209]","[0.461, 0.888]"
probable,"[0.580, 0.956]","[0.265, 0.749]","[0.276, 0.710]","[0.062, 0.468]","[0.413, 0.854]"
likely,"[0.723, 1.000]","[0.215, 0.677]","[0.293, 0.738]","[0.000, 0.309]","[0.431, 0.856]"
we believe,"[0.609, 0.904]","[0.214, 0.719]","[0.432, 0.822]","[0.000, 0.380]","[0.589, 0.999]"
probably,"[0.379, 0.795]","[0.303, 0.879]","[0.428, 0.834]","[0.255, 0.739]","[0.303, 0.806]"
better than even,"[0.361, 0.822]","[0.561, 0.932]","[0.154, 0.589]","[0.274, 0.739]","[0.285, 0.720]"
about even,"[0.441, 0.650]","[0.336, 0.531]","[0.336, 0.531]","[0.358, 0.624]","[0.368, 0.632]"
we doubt,"[0.934, 0.994]","[0.000, 0.236]","[0.000, 0.156]","[0.415, 0.898]","[0.252, 0.753]"
improbable,"[0.338, 0.614]","[0.220, 0.637]","[0.208, 0.588]","[0.232, 0.658]","[0.865, 1.000]"
unlikely,"[0.078, 0.478]","[0.311, 0.760]","[0.563, 0.904]","[0.315, 0.790]","[0.723, 0.996]"
probably not,"[0.465, 0.881]","[0.047, 0.372]","[0.158, 0.509]","[0.001, 0.457]","[0.779, 1.000]"
little chance,"[0.077, 0.331]","[0.186, 0.595]","[0.153, 0.567]","[0.505, 0.910]","[0.573, 0.965]"
almost no chance,"[0.239, 0.371]","[0.022, 0.297]","[0.436, 0.799]","[0.887, 1.000]","[0.000, 0.325]"
highly unlikely,"[0.182, 0.560]","[0.098, 0.359]","[0.167, 0.580]","[0.486, 0.918]","[0.532, 0.925]"
chances are slight,"[0.066, 0.384]","[0.282, 0.771]","[0.413, 0.787]","[0.510, 0.912]","[0.446, 0.878]"
