,ERNIE-4.0-Chinese v.s. Human,GPT-3.5-Chinese v.s. GPT-3.5-English,GPT-4-Chinese v.s. GPT-4-English,GPT-3.5-Chinese v.s. ERNIE-4.0-Chinese,GPT-4-Chinese v.s. ERNIE-4.0-Chinese
almost certain,0.0,0.0,0.1,0.0,0.0
highly likely,0.69,0.0,0.0,0.0,0.14
very good chance,0.0,0.0,0.0,0.0,0.11
probable,0.0,0.96,0.97,0.03,0.22
likely,0.0,0.63,0.9,0.0,0.19
we believe,0.0,0.79,0.21,0.0,0.01
probably,0.27,0.42,0.2,1.0,0.65
better than even,0.23,0.01,0.23,0.97,1.0
about even,0.31,0.16,0.16,0.92,1.0
we doubt,0.0,0.0,0.0,0.15,1.0
improbable,0.76,0.48,0.28,0.6,0.0
unlikely,0.0,0.74,0.01,0.63,0.0
probably not,0.03,0.0,0.07,0.01,0.0
little chance,0.0,0.26,0.16,0.05,0.01
almost no chance,0.01,0.0,0.19,0.0,0.0
highly unlikely,0.1,0.0,0.18,0.06,0.03
chances are slight,0.0,0.8,0.22,0.05,0.12
