,ERNIE-4.0-Chinese v.s. Human,GPT-3.5-Chinese v.s. GPT-3.5-English,GPT-4-Chinese v.s. GPT-4-English,GPT-3.5-Chinese v.s. ERNIE-4.0-Chinese,GPT-4-Chinese v.s. ERNIE-4.0-Chinese
almost certain,1382.5,159.0,84.5,7.5,160.5
highly likely,916.0,184.0,195.0,25.5,138.5
very good chance,1367.0,163.5,187.5,18.5,131.5
probable,1322.5,106.5,111.0,52.0,133.0
likely,1503.0,87.0,116.0,26.0,125.5
we believe,1396.0,77.0,141.0,29.0,131.0
probably,1083.0,97.5,142.0,82.0,91.5
better than even,1091.0,168.0,78.0,114.0,105.5
about even,1006.0,97.5,97.5,110.5,112.5
we doubt,1778.0,15.5,14.0,128.0,98.0
improbable,878.5,90.0,89.5,93.5,198.0
unlikely,512.5,112.5,165.0,116.0,180.5
probably not,1241.5,44.0,75.0,48.0,188.0
little chance,376.5,82.0,81.0,148.5,161.5
almost no chance,562.5,33.5,139.0,202.5,33.5
highly unlikely,684.5,48.0,84.0,147.5,153.0
chances are slight,415.5,118.5,135.0,160.0,149.0
