,GPT-3.5-Male v.s. GPT-3.5-Female,GPT-4-Male v.s. GPT-4-Female,Llama-2-7B-Male v.s. Llama-2-7B-Female,Llama-2-13B-Male v.s. Llama-2-13B-Female,GPT-3.5-Male v.s. GPT-3.5-CNC,GPT-4-Male v.s. GPT-4-CNC,Llama-2-7B-Male v.s. Llama-2-7B-CNC,Llama-2-13B-Male v.s. Llama-2-13B-CNC
almost certain,1.0,0.673,1.0,1.0,0.168,0.033,0.091,0.164
highly likely,1.0,1.0,1.0,1.0,0.588,1.0,0.334,0.599
very good chance,0.599,1.0,1.0,1.0,0.197,0.642,0.164,0.334
probable,0.597,0.468,1.0,0.969,0.1,0.369,0.165,0.475
likely,0.628,0.945,1.0,0.535,0.026,0.245,1.0,0.67
we believe,0.917,1.0,1.0,0.388,0.564,0.772,0.583,0.78
probably,0.343,0.059,0.168,0.732,0.247,0.577,0.969,0.238
better than even,1.0,0.838,1.0,0.343,0.082,0.532,0.008,0.189
about even,1.0,1.0,0.815,1.0,1.0,1.0,0.013,1.0
we doubt,0.874,1.0,0.66,1.0,0.127,0.163,0.57,0.757
improbable,0.632,1.0,0.673,1.0,0.045,0.091,0.188,0.804
unlikely,1.0,0.66,1.0,0.557,0.002,0.32,0.759,0.502
probably not,0.929,1.0,0.196,1.0,0.001,0.582,0.122,0.114
little chance,0.352,1.0,0.964,0.6,0.005,0.755,0.298,0.168
almost no chance,1.0,0.673,0.938,0.605,0.0,0.755,0.145,0.03
highly unlikely,0.557,1.0,0.702,0.577,0.016,0.808,0.822,0.49
chances are slight,0.66,1.0,0.971,0.628,0.019,1.0,0.0,0.022
