,GPT-3.5-Male v.s. GPT-3.5-Female,GPT-4-Male v.s. GPT-4-Female,Llama-2-7B-Male v.s. Llama-2-7B-Female,Llama-2-13B-Male v.s. Llama-2-13B-Female,GPT-3.5-Male v.s. GPT-3.5-CNC,GPT-4-Male v.s. GPT-4-CNC,Llama-2-7B-Male v.s. Llama-2-7B-CNC,Llama-2-13B-Male v.s. Llama-2-13B-CNC
almost certain,1.0,1.0,1.0,1.0,1.0,0.17,0.46,1.0
highly likely,1.0,1.0,1.0,1.0,0.59,1.0,1.0,1.0
very good chance,1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0
probable,1.0,0.99,1.0,1.0,0.46,0.85,1.0,0.73
likely,1.0,1.0,1.0,0.99,0.46,0.08,1.0,0.99
we believe,1.0,1.0,1.0,0.99,0.73,1.0,1.0,0.46
probably,1.0,0.42,0.99,1.0,0.99,0.99,1.0,0.12
better than even,1.0,1.0,1.0,1.0,0.95,1.0,0.01,0.73
about even,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0
we doubt,1.0,1.0,1.0,1.0,0.73,0.95,1.0,1.0
improbable,1.0,1.0,1.0,1.0,0.85,0.46,0.73,1.0
unlikely,1.0,1.0,1.0,1.0,0.25,0.95,1.0,1.0
probably not,1.0,1.0,0.79,1.0,0.46,1.0,0.46,0.73
little chance,0.99,1.0,1.0,1.0,0.05,1.0,0.95,1.0
almost no chance,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.85
highly unlikely,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.34
chances are slight,1.0,1.0,1.0,1.0,0.59,1.0,0.03,0.05
