,GPT-3.5-Male v.s. GPT-3.5-Female,GPT-4-Male v.s. GPT-4-Female,Llama-2-7B-Male v.s. Llama-2-7B-Female,Llama-2-13B-Male v.s. Llama-2-13B-Female,GPT-3.5-Male v.s. GPT-3.5-CNC,GPT-4-Male v.s. GPT-4-CNC,Llama-2-7B-Male v.s. Llama-2-7B-CNC,Llama-2-13B-Male v.s. Llama-2-13B-CNC
almost certain,0.0,0.1,0.0,0.0,0.1,0.43,0.33,0.13
highly likely,0.0,0.0,0.0,0.0,0.3,0.0,0.07,0.1
very good chance,0.1,0.0,0.0,0.0,0.37,0.1,0.13,0.07
probable,0.1,0.2,0.0,0.1,0.33,0.23,0.14,0.27
likely,0.1,0.1,0.0,0.2,0.33,0.5,0.07,0.17
we believe,0.1,0.0,0.0,0.2,0.27,0.13,0.14,0.33
probably,0.1,0.4,0.2,0.1,0.17,0.17,0.1,0.47
better than even,0.0,0.1,0.0,0.1,0.2,0.1,0.64,0.27
about even,0.0,0.0,0.1,0.0,0.0,0.0,0.53,0.0
we doubt,0.1,0.0,0.1,0.0,0.27,0.2,0.13,0.1
improbable,0.1,0.0,0.1,0.0,0.23,0.33,0.27,0.1
unlikely,0.0,0.1,0.0,0.1,0.4,0.2,0.13,0.1
probably not,0.1,0.0,0.3,0.0,0.33,0.13,0.33,0.27
little chance,0.2,0.0,0.1,0.1,0.53,0.07,0.2,0.1
almost no chance,0.0,0.1,0.1,0.1,0.73,0.07,0.4,0.23
highly unlikely,0.1,0.0,0.1,0.1,0.2,0.03,0.07,0.37
chances are slight,0.1,0.0,0.1,0.1,0.3,0.0,0.57,0.53
