,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,"[0.39, 0.56]","[0.41, 0.79]","[0.46, 0.69]","[0.46, 0.69]","[0.44, 0.6]","[0.49, 0.86]","[0.54, 0.78]","[0.52, 0.76]","[0.58, 0.81]","[0.81, 0.93]","[0.45, 0.69]","[0.45, 0.69]","[0.7, 0.84]","[0.85, 0.98]","[0.69, 0.82]","[0.69, 0.82]"
highly likely,"[0.29, 0.58]","[0.38, 0.84]","[0.35, 0.64]","[0.35, 0.64]","[0.34, 0.49]","[0.39, 0.76]","[0.34, 0.59]","[0.34, 0.59]","[0.51, 0.7]","[0.59, 0.77]","[0.56, 0.71]","[0.56, 0.71]","[0.62, 0.83]","[0.74, 0.98]","[0.55, 0.83]","[0.55, 0.83]"
very good chance,"[0.22, 0.49]","[0.26, 0.78]","[0.13, 0.46]","[0.11, 0.45]","[0.2, 0.36]","[0.22, 0.71]","[0.17, 0.48]","[0.17, 0.48]","[0.3, 0.47]","[0.3, 0.49]","[0.28, 0.43]","[0.28, 0.43]","[0.47, 0.65]","[0.67, 0.94]","[0.51, 0.66]","[0.51, 0.66]"
probable,"[0.18, 0.37]","[0.22, 0.67]","[0.09, 0.42]","[0.12, 0.46]","[0.13, 0.38]","[0.22, 0.77]","[0.18, 0.53]","[0.12, 0.47]","[0.05, 0.16]","[0.11, 0.34]","[0.04, 0.13]","[0.04, 0.13]","[0.13, 0.39]","[0.41, 0.95]","[0.16, 0.43]","[0.17, 0.41]"
likely,"[0.15, 0.44]","[0.22, 0.83]","[0.06, 0.38]","[0.05, 0.38]","[0.09, 0.35]","[0.08, 0.69]","[0.07, 0.39]","[0.06, 0.39]","[0.04, 0.14]","[0.07, 0.3]","[0.04, 0.14]","[0.04, 0.14]","[0.15, 0.42]","[0.33, 0.85]","[0.17, 0.45]","[0.21, 0.53]"
we believe,"[0.25, 0.45]","[0.22, 0.69]","[0.24, 0.53]","[0.23, 0.53]","[0.07, 0.28]","[0.16, 0.81]","[0.05, 0.39]","[0.05, 0.39]","[0.19, 0.34]","[0.25, 0.59]","[0.18, 0.34]","[0.18, 0.34]","[0.41, 0.73]","[0.51, 0.93]","[0.38, 0.56]","[0.35, 0.54]"
probably,"[0.15, 0.32]","[0.16, 0.67]","[0.1, 0.42]","[0.09, 0.4]","[0.1, 0.32]","[0.08, 0.71]","[0.04, 0.4]","[0.14, 0.47]","[0.05, 0.16]","[0.08, 0.24]","[0.05, 0.19]","[0.04, 0.13]","[0.18, 0.52]","[0.41, 0.95]","[0.22, 0.42]","[0.24, 0.43]"
better than even,"[0.03, 0.18]","[0.14, 0.79]","[0.0, 0.3]","[0.0, 0.3]","[0.31, 0.69]","[0.15, 0.66]","[0.41, 0.82]","[0.46, 0.82]","[0.0, 0.14]","[0.0, 0.06]","[0.03, 0.21]","[0.03, 0.21]","[0.02, 0.13]","[0.08, 0.63]","[0.01, 0.08]","[0.02, 0.09]"
about even,"[0.49, 0.55]","[0.49, 0.55]","[0.47, 0.65]","[0.47, 0.65]","[0.49, 0.55]","[0.49, 0.55]","[0.47, 0.65]","[0.47, 0.65]","[0.0, 0.12]","[0.0, 0.17]","[0.0, 0.04]","[0.0, 0.04]","[0.49, 0.55]","[0.49, 0.55]","[0.49, 0.55]","[0.49, 0.55]"
we doubt,"[0.56, 0.81]","[0.16, 0.76]","[0.48, 0.73]","[0.47, 0.72]","[0.18, 0.35]","[0.0, 0.5]","[0.24, 0.51]","[0.24, 0.51]","[0.23, 0.45]","[0.09, 0.56]","[0.27, 0.47]","[0.26, 0.45]","[0.17, 0.37]","[0.08, 0.46]","[0.13, 0.36]","[0.13, 0.36]"
