,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.579,0.267,0.19,0.19,0.678,0.068,0.009,0.024,0.002,0.0,0.234,0.234,0.0,0.0,0.0,0.0
highly likely,0.352,0.305,0.9,0.9,0.037,0.389,0.588,0.588,0.03,0.0,0.001,0.001,0.0,0.0,0.013,0.013
very good chance,0.038,0.851,0.02,0.014,0.0,0.757,0.027,0.027,0.009,0.032,0.0,0.0,0.187,0.0,0.02,0.02
probable,0.0,0.605,0.008,0.018,0.0,0.977,0.1,0.028,0.0,0.0,0.0,0.0,0.001,0.172,0.005,0.002
likely,0.008,0.872,0.003,0.002,0.0,0.423,0.003,0.003,0.0,0.0,0.0,0.0,0.003,0.46,0.012,0.098
we believe,0.005,0.694,0.113,0.103,0.0,0.919,0.003,0.003,0.0,0.354,0.0,0.0,0.383,0.043,0.551,0.225
probably,0.0,0.48,0.006,0.004,0.0,0.472,0.005,0.022,0.0,0.0,0.0,0.0,0.079,0.166,0.001,0.001
better than even,0.0,0.802,0.001,0.001,0.964,0.432,0.247,0.121,0.0,0.0,0.0,0.0,0.0,0.268,0.0,0.0
about even,0.109,0.109,0.15,0.15,0.109,0.109,0.15,0.15,0.0,0.0,0.0,0.0,0.109,0.109,0.109,0.109
we doubt,0.005,0.764,0.094,0.118,0.0,0.047,0.06,0.06,0.007,0.127,0.011,0.003,0.0,0.023,0.0,0.0
improbable,0.015,0.575,0.447,0.995,0.0,0.141,0.008,0.008,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0
unlikely,0.0,0.186,0.0,0.0,0.0,0.363,0.062,0.064,0.059,0.058,0.037,0.037,0.0,0.127,0.0,0.0
probably not,0.0,0.092,0.0,0.0,0.004,0.621,0.104,0.104,0.482,0.151,0.376,0.573,0.459,0.324,0.03,0.03
little chance,0.0,0.02,0.236,0.75,0.007,0.297,0.026,0.026,0.028,0.013,0.0,0.0,0.0,0.002,0.0,0.0
almost no chance,0.134,0.883,0.032,0.032,0.907,0.708,0.713,0.856,0.001,0.043,0.0,0.001,0.0,0.0,0.0,0.0
highly unlikely,0.003,0.711,0.505,0.195,0.0,0.224,0.002,0.002,0.003,0.046,0.0,0.0,0.0,0.023,0.0,0.0
chances are slight,0.004,0.114,0.887,0.625,0.0,0.12,0.009,0.009,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
