,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,6.771,6.646,2.823,2.823,3.017,3.054,3.005,2.919,6.727,19.47,6.396,6.396,15.77,15.33,17.62,17.62
highly likely,5.989,7.207,2.76,2.76,15.34,15.43,15.36,15.36,11.45,13.92,17.21,17.21,12.24,12.53,12.15,12.15
very good chance,9.274,3.716,7.2,7.307,12.73,7.063,12.76,12.76,10.99,10.91,16.77,16.77,10.93,12.4,14.71,14.71
probable,9.919,8.053,10.04,9.921,13.07,9.156,9.096,9.16,14.59,9.905,20.72,20.72,9.846,12.35,10.02,9.886
likely,6.974,13.38,17.47,17.48,11.37,11.17,17.47,16.47,17.44,8.373,20.59,20.59,8.515,12.35,8.339,12.79
we believe,9.55,8.343,15.72,12.25,9.681,14.45,15.82,15.82,12.43,12.31,19.5,19.5,9.958,13.15,14.32,14.27
probably,10.33,7.441,14.4,17.47,11.64,17.54,12.31,10.37,17.13,13.95,14.21,20.27,5.301,15.84,10.22,10.3
better than even,10.65,16.62,20.74,20.74,6.414,6.211,2.012,2.742,9.837,19.75,9.806,9.806,10.66,6.029,20.74,20.4
about even,1.604,1.604,1.683,1.683,1.604,1.604,1.683,1.683,3.563,3.256,22.21,22.2,1.604,1.604,1.604,1.604
we doubt,11.99,11.47,5.305,5.2,13.35,15.89,12.0,12.0,10.4,13.38,13.96,13.98,18.19,17.01,18.67,18.67
improbable,9.723,9.444,6.605,8.867,15.23,7.301,11.1,11.1,8.346,12.38,15.24,15.23,15.75,15.96,18.91,18.91
unlikely,13.42,13.23,13.07,13.07,13.27,9.515,6.585,9.616,13.1,9.902,13.19,13.19,16.58,12.78,16.58,16.58
probably not,15.62,13.35,8.565,6.506,12.38,8.772,14.93,14.93,8.992,13.99,12.26,12.32,13.19,14.47,15.72,15.72
little chance,9.212,7.498,4.711,9.125,10.91,8.912,3.519,3.519,9.209,9.523,10.82,11.16,13.72,9.278,20.5,17.81
almost no chance,3.004,0.35,3.928,3.928,3.038,8.832,2.999,3.016,1.164,0.838,1.273,1.346,13.46,1.571,19.19,19.21
highly unlikely,7.601,3.692,3.682,3.777,16.05,10.9,11.4,11.4,11.46,10.98,16.05,7.994,16.84,4.153,16.25,16.11
chances are slight,9.245,6.869,8.586,6.084,17.63,5.511,16.47,16.47,15.63,8.582,21.02,21.01,19.93,12.31,19.92,19.92
