,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.07,0.47,0.12,0.12,0.07,0.4,0.12,0.12,0.03,0.0,0.18,0.18,0.0,0.0,0.0,0.0
highly likely,0.66,0.38,0.27,0.27,0.0,0.29,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
very good chance,0.21,0.48,0.01,0.0,0.0,0.48,0.01,0.01,0.01,0.09,0.0,0.0,0.03,0.02,0.03,0.03
probable,0.02,0.49,0.0,0.01,0.01,0.36,0.16,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.07,0.07
likely,0.01,0.06,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.13,0.25
we believe,0.01,0.74,0.01,0.01,0.0,0.08,0.0,0.0,0.0,0.37,0.0,0.0,0.19,0.01,0.05,0.05
probably,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.06
better than even,0.0,0.01,0.0,0.0,0.66,0.36,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
about even,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
we doubt,0.0,0.08,0.32,0.32,0.0,0.0,0.01,0.01,0.04,0.01,0.04,0.04,0.0,0.01,0.0,0.0
improbable,0.0,0.57,0.19,0.08,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
unlikely,0.0,0.01,0.0,0.0,0.0,0.17,0.18,0.04,0.1,0.01,0.09,0.09,0.0,0.07,0.0,0.0
probably not,0.0,0.01,0.0,0.0,0.01,0.17,0.01,0.01,0.24,0.01,0.31,0.31,0.02,0.09,0.02,0.02
little chance,0.0,0.02,0.29,0.29,0.1,0.44,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almost no chance,0.21,0.22,0.01,0.01,0.81,0.37,0.89,0.89,0.01,0.0,0.03,0.03,0.0,0.01,0.0,0.0
highly unlikely,0.02,0.4,0.57,0.18,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
chances are slight,0.02,0.03,0.91,0.68,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
