,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.34,0.25,0.34,0.34,0.34,0.26,0.34,0.34,0.38,0.85,0.34,0.34,0.66,0.66,0.66,0.66
highly likely,0.19,0.27,0.29,0.29,0.46,0.29,0.37,0.37,0.48,0.54,0.54,0.54,0.52,0.63,0.42,0.42
very good chance,0.28,0.25,0.49,0.57,0.55,0.25,0.47,0.47,0.42,0.37,0.55,0.55,0.39,0.46,0.46,0.46
probable,0.41,0.25,0.56,0.48,0.41,0.27,0.32,0.48,0.77,0.43,0.91,0.91,0.48,0.51,0.41,0.41
likely,0.43,0.4,0.68,0.68,0.5,0.36,0.68,0.68,0.83,0.54,0.9,0.9,0.43,0.4,0.36,0.32
we believe,0.42,0.2,0.46,0.46,0.64,0.38,0.69,0.69,0.57,0.27,0.72,0.72,0.28,0.47,0.42,0.42
probably,0.49,0.25,0.59,0.67,0.49,0.54,0.59,0.51,0.76,0.61,0.7,0.9,0.42,0.56,0.41,0.41
better than even,0.73,0.48,0.85,0.85,0.19,0.27,0.29,0.29,0.77,0.91,0.69,0.69,0.84,0.45,0.93,0.89
about even,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.9,0.88,0.97,0.97,0.08,0.08,0.08,0.08
we doubt,0.51,0.38,0.27,0.27,0.58,0.65,0.48,0.48,0.37,0.5,0.44,0.44,0.59,0.5,0.59,0.59
improbable,0.48,0.23,0.31,0.37,0.59,0.32,0.51,0.51,0.46,0.41,0.59,0.59,0.68,0.57,0.75,0.75
unlikely,0.66,0.48,0.58,0.58,0.54,0.33,0.32,0.4,0.32,0.51,0.39,0.39,0.57,0.39,0.57,0.57
probably not,0.76,0.49,0.51,0.51,0.44,0.33,0.49,0.49,0.27,0.51,0.3,0.3,0.4,0.37,0.46,0.46
little chance,0.46,0.45,0.28,0.28,0.32,0.26,0.37,0.37,0.39,0.53,0.59,0.59,0.85,0.74,0.92,0.82
almost no chance,0.28,0.31,0.49,0.49,0.16,0.27,0.16,0.16,0.45,0.57,0.46,0.46,0.65,0.49,0.85,0.85
highly unlikely,0.4,0.26,0.22,0.32,0.62,0.42,0.53,0.53,0.55,0.61,0.62,0.52,0.62,0.56,0.78,0.68
chances are slight,0.41,0.43,0.16,0.2,0.7,0.43,0.62,0.62,0.7,0.54,0.99,0.99,0.85,0.67,0.85,0.85
