,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.76,0.26,0.38,0.38,0.83,0.05,0.06,0.1,0.01,0.0,0.44,0.44,0.0,0.0,0.01,0.01
highly likely,0.39,0.21,0.92,0.92,0.29,0.39,0.7,0.7,0.18,0.05,0.15,0.15,0.0,0.0,0.05,0.05
very good chance,0.06,0.8,0.02,0.01,0.0,0.7,0.04,0.04,0.14,0.25,0.12,0.12,0.43,0.0,0.34,0.34
probable,0.0,0.54,0.01,0.01,0.0,0.97,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.03
likely,0.01,0.81,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.32,0.04,0.17
we believe,0.06,0.63,0.19,0.17,0.0,0.87,0.0,0.0,0.0,0.4,0.01,0.01,0.39,0.02,0.77,0.55
probably,0.0,0.36,0.01,0.0,0.0,0.24,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.04,0.06,0.08
better than even,0.0,0.67,0.0,0.0,0.96,0.28,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
about even,0.56,0.62,0.18,0.18,0.56,0.62,0.18,0.18,0.0,0.0,0.0,0.0,0.56,0.62,0.64,0.64
we doubt,0.02,0.65,0.22,0.27,0.0,0.0,0.14,0.14,0.04,0.05,0.18,0.12,0.0,0.01,0.01,0.01
improbable,0.12,0.47,0.64,1.0,0.0,0.07,0.06,0.06,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0
unlikely,0.0,0.04,0.01,0.01,0.0,0.21,0.11,0.07,0.06,0.02,0.12,0.12,0.01,0.14,0.06,0.03
probably not,0.0,0.02,0.0,0.01,0.06,0.51,0.2,0.2,0.49,0.06,0.58,0.73,0.59,0.36,0.09,0.09
little chance,0.0,0.01,0.35,0.82,0.02,0.24,0.05,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almost no chance,0.25,0.84,0.08,0.08,0.93,0.66,0.78,0.89,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0
highly unlikely,0.04,0.6,0.67,0.42,0.0,0.07,0.02,0.02,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0
chances are slight,0.11,0.04,0.91,0.7,0.0,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
