,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,878.0,811.0,850.0,850.0,953.5,908.5,974.0,943.0,1274.5,1174.5,703.0,703.0,1427.5,1239.0,925.0,925.0
highly likely,798.5,829.0,725.0,725.0,772.5,781.0,689.5,689.5,1116.5,919.5,780.0,780.0,1336.5,1159.0,844.0,844.0
very good chance,656.0,707.0,435.0,412.0,514.5,628.5,475.0,475.0,710.5,536.5,435.0,435.0,1035.5,1090.0,725.0,725.0
probable,506.5,602.0,381.0,424.0,471.5,671.5,524.5,438.5,179.0,304.5,105.0,105.0,477.0,917.0,365.0,358.0
likely,544.0,707.0,326.0,316.0,407.5,475.5,336.0,331.5,154.0,254.0,110.0,110.0,530.0,798.5,379.0,455.0
we believe,651.0,617.5,571.0,562.0,325.5,656.0,318.5,318.5,458.5,573.5,320.0,320.0,1047.5,971.5,581.0,545.0
probably,434.5,563.5,385.5,359.5,385.5,533.0,325.5,445.0,180.0,216.5,144.5,105.0,644.0,923.0,397.0,414.5
better than even,198.0,626.0,189.0,189.0,915.0,549.0,906.5,942.5,125.0,40.5,145.5,145.5,140.0,478.5,60.0,66.5
about even,967.5,709.5,832.5,832.5,967.5,709.5,832.5,832.5,87.5,86.5,24.0,24.0,967.5,709.5,645.0,645.0
we doubt,1264.0,621.0,896.0,880.5,489.0,325.0,548.0,548.0,626.5,439.0,457.0,434.0,493.0,368.5,297.5,297.5
improbable,1145.5,766.0,798.5,738.5,451.5,456.5,495.0,495.0,599.0,319.0,288.0,307.5,381.0,329.0,265.5,265.5
unlikely,1516.0,923.5,1095.0,1095.0,468.0,524.0,531.0,508.0,653.0,384.0,435.0,435.0,532.5,497.0,392.5,355.0
probably not,1601.0,959.5,1111.0,1094.5,648.0,594.5,574.0,574.0,1023.0,441.5,550.0,655.0,845.0,564.0,415.0,415.0
little chance,1367.5,1004.5,855.0,766.5,602.5,535.5,485.0,485.0,596.5,293.5,262.0,259.0,177.5,226.0,74.0,84.0
almost no chance,1084.5,701.5,516.0,516.0,936.0,730.5,773.0,720.5,433.5,323.5,341.5,333.0,250.5,248.0,101.5,93.0
highly unlikely,1209.5,739.5,791.5,838.0,480.0,455.5,445.5,445.5,536.5,320.5,305.0,342.0,321.0,347.0,132.5,158.0
chances are slight,1150.0,919.0,752.5,690.0,412.5,440.5,425.0,425.0,154.0,212.0,6.5,6.0,194.5,240.5,65.0,77.5
