,Human_VS_GPT-3.5_CNC,Human_VS_GPT-3.5_ENC,Human_VS_GPT-3.5_MCNC,Human_VS_GPT-3.5_FCNC,Human_VS_GPT-4_CNC,Human_VS_GPT-4_ENC,Human_VS_GPT-4_MCNC,Human_VS_GPT-4_FCNC,Human_VS_Llama-2-7B_CNC,Human_VS_Llama-2-7B_ENC,Human_VS_Llama-2-7B_MCNC,Human_VS_Llama-2-7B_FCNC,Human_VS_Llama-2-13B_CNC,Human_VS_Llama-2-13B_ENC,Human_VS_Llama-2-13B_MCNC,Human_VS_Llama-2-13B_FCNC
almost certain,0.0,0.0,0.0,0.0,0.0,5.0,3.75,1.0,10.0,10.0,0.0,0.0,5.0,15.0,5.0,5.0
highly likely,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0
very good chance,-10.0,-5.0,-10.0,-10.0,-5.0,-5.0,-6.25,-6.25,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,0.0
probable,-5.0,-5.0,-10.0,-10.0,-10.0,0.0,-3.0,-10.0,-15.0,-10.0,-15.0,-15.0,-10.0,20.0,-7.5,-5.0
likely,-10.0,-5.0,-10.0,-10.0,-15.0,-10.0,-10.0,-10.0,-15.0,-15.0,-15.0,-15.0,-10.0,-5.0,-10.0,-5.0
we believe,-5.0,-5.0,-5.0,-5.0,-15.0,-15.0,-15.0,-15.0,-10.0,-5.0,-10.0,-10.0,-5.0,25.0,0.0,-2.5
probably,-10.0,-5.0,-10.0,-10.0,-10.0,-15.0,-10.0,-10.0,-15.0,-10.0,-15.0,-15.0,-10.0,20.0,-5.0,-5.0
better than even,-15.0,-15.0,-15.0,-15.0,0.0,0.0,6.0,6.75,-25.0,-25.0,-12.5,-12.5,-15.0,-7.0,-15.0,-15.0
about even,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-20.0,-20.0,-12.5,0.0,0.0,0.0,0.0
we doubt,10.0,-5.0,10.0,6.75,-10.0,-30.0,-10.0,-10.0,-10.0,-40.0,-10.0,-10.0,-5.0,-20.0,-12.5,-12.5
improbable,0.0,5.0,0.0,0.0,-20.0,-10.0,-10.0,-10.0,-10.0,-20.0,-20.0,-15.0,-15.0,-15.0,-15.0,-15.0
unlikely,10.0,15.0,10.0,10.0,-10.0,-10.0,-8.0,-10.0,-10.0,-40.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
probably not,15.0,15.0,15.0,15.0,-5.0,-5.0,-5.0,-5.0,5.0,-35.0,-5.0,5.0,0.0,0.0,0.0,0.0
little chance,5.0,5.0,0.0,0.0,-10.0,0.0,-8.0,-8.0,-10.0,-60.0,-10.0,-10.0,-15.0,-15.0,-15.0,-15.0
almost no chance,1.0,-3.0,-3.0,-3.0,1.0,1.0,0.467204441,-0.5540925535000003,-8.0,-18.0,-3.0,-3.0,-8.0,-8.0,-8.0,-8.0
highly unlikely,0.0,0.0,0.0,0.0,-5.0,-15.0,-5.0,-5.0,-5.0,-70.0,-5.0,-5.0,-20.0,-20.0,-17.5,-15.0
chances are slight,0.0,5.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-50.0,-55.0,-55.0,-57.5,-15.0,-15.0,-30.0,-30.0
